         2103794 function calls (2061975 primitive calls) in 5.527 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.015    0.015 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:1257(__clear)
     3000    0.012    0.000    0.015    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\bezier.py:199(__init__)
     9843    0.011    0.000    0.014    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:2053(scale)
       11    0.000    0.000    0.014    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:2403(_update_label_position)
       32    0.000    0.000    0.014    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\spines.py:142(get_window_extent)
      601    0.001    0.000    0.013    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:421(set_alpha)
      600    0.002    0.000    0.013    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axes\_base.py:2521(update_datalim)
     3910    0.002    0.000    0.013    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:920(_set_gc_clip)
    36730    0.013    0.000    0.013    0.000 {method 'copy' of 'numpy.ndarray' objects}
    25453    0.006    0.000    0.013    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:158(invalidate)
     5312    0.007    0.000    0.013    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:1985(rotate)
     3038    0.005    0.000    0.013    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:1787(__eq__)
     1205    0.004    0.000    0.013    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\colors.py:322(_to_rgba_no_colorcycle)
4509/3981    0.002    0.000    0.012    0.000 {built-in method builtins.next}
     9752    0.006    0.000    0.012    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:2040(translate)
    31267    0.007    0.000    0.011    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\__init__.py:694(_get)
     7972    0.011    0.000    0.011    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      246    0.001    0.000    0.011    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\lines.py:743(draw)
     3910    0.002    0.000    0.011    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backend_bases.py:879(set_clip_path)
    20801    0.006    0.000    0.011    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\numpy\lib\_function_base_impl.py:346(iterable)
    28359    0.005    0.000    0.011    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.010    0.010 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\settings_frame.py:69(create_settings_widgets)
     4904    0.010    0.000    0.010    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:368(bounds)
30026/24857    0.005    0.000    0.010    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:316(stale)
        1    0.000    0.000    0.010    0.010 C:\Program Files\Python312\Lib\threading.py:1001(run)
        1    0.000    0.000    0.010    0.010 \\wsl$\Ubuntu\home\erfi\apmpy\src\utils\input_manager.py:15(input_loop)
        1    0.000    0.000    0.010    0.010 \\wsl$\Ubuntu\home\erfi\apmpy\src\utils\settings_manager.py:25(save_settings)
       96    0.001    0.000    0.010    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:1533(get_minorticklocs)
        2    0.000    0.000    0.010    0.005 \\wsl$\Ubuntu\home\erfi\apmpy\src\utils\settings_manager.py:44(load_settings)
    49601    0.010    0.000    0.010    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:113(__init__)
     5622    0.002    0.000    0.010    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:415(pchanged)
    15383    0.010    0.000    0.010    0.000 {built-in method numpy.array}
       14    0.000    0.000    0.010    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:1591(_get_tick)
     1200    0.000    0.000    0.009    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:1720(__eq__)
        2    0.000    0.000    0.009    0.005 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:870(clear)
      132    0.000    0.000    0.009    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\ticker.py:2169(__call__)
     1200    0.001    0.000    0.009    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:2172(__eq__)
        2    0.000    0.000    0.009    0.005 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:780(_set_scale)
        2    0.000    0.000    0.009    0.004 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\scale.py:103(set_default_locators_and_formatters)
     2551    0.001    0.000    0.009    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:1792(transform)
       98    0.000    0.000    0.009    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:1650(get_major_ticks)
      614    0.000    0.000    0.009    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\patches.py:394(set_facecolor)
      600    0.001    0.000    0.009    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:931(update_from_data_xy)
