         1030043 function calls (1008679 primitive calls) in 7.531 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       71    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     1418    0.001    0.000    0.012    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:805(from_bounds)
      557    0.000    0.000    0.011    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:147(<lambda>)
     3259    0.001    0.000    0.011    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:1350(__add__)
     3741    0.004    0.000    0.011    0.000 C:\Program Files\Python312\Lib\copy.py:61(copy)
      557    0.000    0.000    0.011    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:1220(set)
      875    0.001    0.000    0.011    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:2425(transform_affine)
      499    0.001    0.000    0.011    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\pynput\mouse\_win32.py:197(_handle)
      204    0.000    0.000    0.011    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\ticker.py:2173(tick_values)
        2    0.000    0.000    0.011    0.005 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\_backend_tk.py:166(__init__)
       14    0.000    0.000    0.011    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:1591(_get_tick)
     7493    0.011    0.000    0.011    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2579    0.001    0.000    0.011    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\numpy\_core\fromnumeric.py:215(reshape)
     1877    0.001    0.000    0.011    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\font_manager.py:906(copy)
    15882    0.005    0.000    0.010    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\__init__.py:745(__getitem__)
      101    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       16    0.000    0.000    0.010    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\offsetbox.py:363(get_window_extent)
      101    0.010    0.000    0.010    0.000 {built-in method nt.stat}
       32    0.000    0.000    0.010    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\offsetbox.py:785(draw)
     3259    0.002    0.000    0.010    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:2517(composite_transform_factory)
      152    0.000    0.000    0.010    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:1650(get_major_ticks)
      400    0.001    0.000    0.010    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\font_manager.py:1531(get_font)
        2    0.000    0.000    0.010    0.005 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:870(clear)
        9    0.000    0.000    0.010    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\PIL\Image.py:3375(open)
      300    0.001    0.000    0.010    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\ticker.py:214(format_ticks)
     1779    0.001    0.000    0.009    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\font_manager.py:656(__eq__)
        2    0.000    0.000    0.009    0.005 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\axis.py:780(_set_scale)
        2    0.000    0.000    0.009    0.005 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\scale.py:103(set_default_locators_and_formatters)
      408    0.001    0.000    0.009    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\artist.py:1226(_cm_set)
     3736    0.005    0.000    0.009    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:759(__init__)
      133    0.001    0.000    0.009    0.000 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\transforms.py:651(union)
8962/5404    0.002    0.000    0.009    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.009    0.009 \\wsl$\Ubuntu\home\erfi\apmpy\src\gui\settings_frame.py:66(create_settings_widgets)
        2    0.000    0.000    0.009    0.005 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\ticker.py:447(__init__)
        2    0.000    0.000    0.009    0.005 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\ticker.py:559(set_useMathText)
       16    0.000    0.000    0.009    0.001 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\PIL\ImageTk.py:165(paste)
        1    0.000    0.000    0.009    0.009 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backends\_backend_tk.py:455(__init__)
        4    0.000    0.000    0.009    0.002 C:\Program Files\Python312\Lib\tkinter\__init__.py:2853(_create)
        3    0.000    0.000    0.009    0.003 C:\Program Files\Python312\Lib\tkinter\__init__.py:2873(create_image)
        1    0.000    0.000    0.009    0.009 \\wsl$\Ubuntu\home\erfi\apmpy\src\main.py:13(setup_logging)
        1    0.000    0.000    0.009    0.009 C:\Users\erfia\AppData\Roaming\Python\Python312\site-packages\matplotlib\backend_bases.py:2636(__init__)
        1    0.000    0.000    0.009    0.009 C:\Program Files\Python312\Lib\logging\handlers.py:124(__init__)
        1    0.000    0.000    0.009    0.009 C:\Program Files\Python312\Lib\logging\handlers.py:54(__init__)
        1    0.000    0.000    0.009    0.009 C:\Program Files\Python312\Lib\logging\__init__.py:1206(__init__)
        1    0.000    0.000    0.009    0.009 C:\Program Files\Python312\Lib\logging\__init__.py:1257(_open)
